['lrn', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/lrn_kernel.cu', 'co63oc', '2024-06-26']
['lrn_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/lrn_grad_kernel.cu', 'co63oc', '2024-06-26']
['lstm', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/lstm_kernel.cu', 'co63oc', '2024-06-04']
['lstm_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/lstm_grad_kernel.cu', 'co63oc', '2024-06-04']
['matmul', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/matmul_kernel.cu', 'YSF', '2023-09-14']
['matmul_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/matmul_grad_kernel.cu', 'zyfncg', '2022-01-11']
['matmul_with_flatten_double_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/matmul_grad_kernel.cu', 'Chen Weihang', '2022-03-24']
['momentum_dense_param_sparse_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/momentum_kernel.cu', 'hong', '2022-03-28']
['moving_average_abs_max_scale', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/moving_average_abs_max_scale_kernel.cu', 'co63oc', '2024-08-12']
['mp_allreduce_sum', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/mp_allreduce_sum_kernel.cu', 'co63oc', '2024-10-30']
['multiclass_nms3', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/multiclass_nms3_kernel.cu', 'Tian Zheng', '2023-05-22']
['multinomial', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/multinomial_kernel.cu', 'Aganlengzi', '2022-02-24']
['nadam', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/nadam_kernel.cu', 'megemini', '2024-05-16']
['nearest_interp', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/interpolate_kernel.cu', 'co63oc', '2024-07-09']
['nearest_interp_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/interpolate_grad_kernel.cu', 'co63oc', '2024-07-09']
['nextafter', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/nextafter_kernel.cu', 'cyberslack_lee', '2023-04-27']
['nop', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/nop_kernel.cu', 'gouzil', '2023-08-01']
['number_count', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/number_count_kernel.cu', 'Roc', '2022-03-15']
['p_recv', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/p_recv_kernel.cu', 'yu wentao', '2023-04-07']
['p_recv_array', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/p_recv_kernel.cu', 'yu wentao', '2023-04-07']
['p_send', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/p_send_kernel.cu', 'yu wentao', '2023-04-07']
['p_send_array', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/p_send_kernel.cu', 'yu wentao', '2023-04-07']
['partial_allgather', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/partial_allgather_kernel.cu', 'co63oc', '2024-08-08']
